

loss 74.84366607666016:  85% 148546/174001 [15:27:02<2:38:40,  2.67it/s]
loss 74.84366607666016:  85% 148547/174001 [15:27:02<2:38:18,  2.68it/s]
loss 75.90039825439453:  85% 148547/174001 [15:27:03<2:38:18,  2.68it/s]
loss 75.90039825439453:  85% 148548/174001 [15:27:03<2:38:23,  2.68it/s]
loss 113.65352630615234:  85% 148548/174001 [15:27:03<2:38:23,  2.68it/s]
loss 113.65352630615234:  85% 148549/174001 [15:27:03<2:38:07,  2.68it/s]
loss 99.02520751953125:  85% 148549/174001 [15:27:04<2:38:07,  2.68it/s] 
loss 99.02520751953125:  85% 148550/174001 [15:27:04<2:37:54,  2.69it/s]
loss 59.97893524169922:  85% 148550/174001 [15:27:04<2:37:54,  2.69it/s]
loss 59.97893524169922:  85% 148551/174001 [15:27:04<2:38:45,  2.67it/s]
loss 86.15583038330078:  85% 148551/174001 [15:27:04<2:38:45,  2.67it/s]
loss 86.15583038330078:  85% 148552/174001 [15:27:04<2:38:35,  2.67it/s]
loss 69.54047393798828:  85% 148552/174001 [15:27:05<2:38:35,  2.67it/s]
loss 69.54047393798828:  85% 148553/174001 [15:27:05<2:38:38,  2.67it/s]
loss 101.72347259521484:  85% 148553/174001 [15:27:05<2:38:38,  2.67it/s]
loss 101.72347259521484:  85% 148554/174001 [15:27:05<2:38:08,  2.68it/s]
loss 78.50177001953125:  85% 148554/174001 [15:27:05<2:38:08,  2.68it/s] 
loss 78.50177001953125:  85% 148555/174001 [15:27:05<2:37:47,  2.69it/s]
loss 121.35813903808594:  85% 148555/174001 [15:27:06<2:37:47,  2.69it/s]
loss 121.35813903808594:  85% 148556/174001 [15:27:06<2:38:51,  2.67it/s]
loss 58.82814025878906:  85% 148556/174001 [15:27:06<2:38:51,  2.67it/s] 
loss 58.82814025878906:  85% 148557/174001 [15:27:06<2:38:45,  2.67it/s]
loss 199.1490478515625:  85% 148557/174001 [15:27:07<2:38:45,  2.67it/s]
loss 199.1490478515625:  85% 148558/174001 [15:27:07<2:38:08,  2.68it/s]
loss 115.2078857421875:  85% 148558/174001 [15:27:07<2:38:08,  2.68it/s]
loss 115.2078857421875:  85% 148559/174001 [15:27:07<2:37:53,  2.69it/s]
loss 94.86015319824219:  85% 148559/174001 [15:27:07<2:37:53,  2.69it/s]
loss 94.86015319824219:  85% 148560/174001 [15:27:07<2:37:55,  2.68it/s]
loss 87.21074676513672:  85% 148560/174001 [15:27:08<2:37:55,  2.68it/s]
loss 87.21074676513672:  85% 148561/174001 [15:27:08<2:38:22,  2.68it/s]
loss 82.08533477783203:  85% 148561/174001 [15:27:08<2:38:22,  2.68it/s]
loss 82.08533477783203:  85% 148562/174001 [15:27:08<2:37:56,  2.68it/s]
loss 119.76486206054688:  85% 148562/174001 [15:27:08<2:37:56,  2.68it/s]
loss 119.76486206054688:  85% 148563/174001 [15:27:08<2:38:05,  2.68it/s]
loss 63.632179260253906:  85% 148563/174001 [15:27:09<2:38:05,  2.68it/s]
loss 63.632179260253906:  85% 148564/174001 [15:27:09<2:38:37,  2.67it/s]
loss 142.63433837890625:  85% 148564/174001 [15:27:09<2:38:37,  2.67it/s]
loss 142.63433837890625:  85% 148565/174001 [15:27:09<2:38:25,  2.68it/s]
loss 69.5814437866211:  85% 148565/174001 [15:27:10<2:38:25,  2.68it/s]  
loss 69.5814437866211:  85% 148566/174001 [15:27:10<2:37:59,  2.68it/s]
loss 62.319156646728516:  85% 148566/174001 [15:27:10<2:37:59,  2.68it/s]
loss 62.319156646728516:  85% 148567/174001 [15:27:10<2:38:46,  2.67it/s]
loss 86.86880493164062:  85% 148567/174001 [15:27:10<2:38:46,  2.67it/s] 
loss 86.86880493164062:  85% 148568/174001 [15:27:10<2:38:33,  2.67it/s]
loss 103.15100860595703:  85% 148568/174001 [15:27:11<2:38:33,  2.67it/s]
loss 103.15100860595703:  85% 148569/174001 [15:27:11<2:38:18,  2.68it/s]
loss 76.89534759521484:  85% 148569/174001 [15:27:11<2:38:18,  2.68it/s] 
loss 76.89534759521484:  85% 148570/174001 [15:27:11<2:38:01,  2.68it/s]
loss 150.0167694091797:  85% 148570/174001 [15:27:11<2:38:01,  2.68it/s]
loss 150.0167694091797:  85% 148571/174001 [15:27:11<2:38:07,  2.68it/s]
loss 75.5298843383789:  85% 148571/174001 [15:27:12<2:38:07,  2.68it/s] 
loss 75.5298843383789:  85% 148572/174001 [15:27:12<2:38:43,  2.67it/s]
loss 82.85911560058594:  85% 148572/174001 [15:27:12<2:38:43,  2.67it/s]
loss 82.85911560058594:  85% 148573/174001 [15:27:12<2:38:42,  2.67it/s]
loss 77.10235595703125:  85% 148573/174001 [15:27:13<2:38:42,  2.67it/s]
loss 77.10235595703125:  85% 148574/174001 [15:27:13<2:38:15,  2.68it/s]
loss 65.96685791015625:  85% 148574/174001 [15:27:13<2:38:15,  2.68it/s]
loss 65.96685791015625:  85% 148575/174001 [15:27:13<2:38:17,  2.68it/s]
loss 89.57546997070312:  85% 148575/174001 [15:27:13<2:38:17,  2.68it/s]
loss 89.57546997070312:  85% 148576/174001 [15:27:13<2:38:04,  2.68it/s]
loss 84.53266143798828:  85% 148576/174001 [15:27:14<2:38:04,  2.68it/s]
loss 84.53266143798828:  85% 148577/174001 [15:27:14<2:38:17,  2.68it/s]
loss 63.6329460144043:  85% 148577/174001 [15:27:14<2:38:17,  2.68it/s] 
loss 63.6329460144043:  85% 148578/174001 [15:27:14<2:38:05,  2.68it/s]
loss 81.57929992675781:  85% 148578/174001 [15:27:14<2:38:05,  2.68it/s]
loss 81.57929992675781:  85% 148579/174001 [15:27:14<2:38:08,  2.68it/s]
loss 100.49508666992188:  85% 148579/174001 [15:27:15<2:38:08,  2.68it/s]
loss 100.49508666992188:  85% 148580/174001 [15:27:15<2:38:00,  2.68it/s]
loss 69.00009155273438:  85% 148580/174001 [15:27:15<2:38:00,  2.68it/s] 
loss 69.00009155273438:  85% 148581/174001 [15:27:15<2:37:54,  2.68it/s]
loss 71.27668762207031:  85% 148581/174001 [15:27:16<2:37:54,  2.68it/s]
loss 71.27668762207031:  85% 148582/174001 [15:27:16<2:37:34,  2.69it/s]
loss 171.7160186767578:  85% 148582/174001 [15:27:16<2:37:34,  2.69it/s]
loss 171.7160186767578:  85% 148583/174001 [15:27:16<2:38:25,  2.67it/s]
loss 83.00267791748047:  85% 148583/174001 [15:27:16<2:38:25,  2.67it/s]
loss 83.00267791748047:  85% 148584/174001 [15:27:16<2:38:14,  2.68it/s]
loss 96.33842468261719:  85% 148584/174001 [15:27:17<2:38:14,  2.68it/s]
loss 96.33842468261719:  85% 148585/174001 [15:27:17<2:37:53,  2.68it/s]
loss 62.27290725708008:  85% 148585/174001 [15:27:17<2:37:53,  2.68it/s]
loss 62.27290725708008:  85% 148586/174001 [15:27:17<2:37:38,  2.69it/s]
loss 59.78998565673828:  85% 148586/174001 [15:27:17<2:37:38,  2.69it/s]
loss 59.78998565673828:  85% 148587/174001 [15:27:17<2:37:45,  2.68it/s]
loss 61.96720504760742:  85% 148587/174001 [15:27:18<2:37:45,  2.68it/s]
loss 61.96720504760742:  85% 148588/174001 [15:27:18<2:38:18,  2.68it/s]
loss 92.66057586669922:  85% 148588/174001 [15:27:18<2:38:18,  2.68it/s]
